Year,District,Crop,Predicted_Yield,Rice,Sorghum,Maize,Finger millet,Chickpea,Pigeonpea,Groundnut,Arecanut,Revenue,Cost,Profit
2017,Chitradurga,Rice,6446.817732982692,871.6438179,844.5527457,762.9729095,651.8232076,2186.317341,989.3524439,3595.123292,30356.0,56193.28822082457,92006.24,20380.33644164914
2017,Chitradurga,Sorghum,2325.6113009639303,871.6438179,844.5527457,762.9729095,651.8232076,2186.317341,989.3524439,3595.123292,30356.0,19641.01409660036,60413.47,-21131.44180679928
2017,Chitradurga,Maize,5424.767518011475,871.6438179,844.5527457,762.9729095,651.8232076,2186.317341,989.3524439,3595.123292,30356.0,41389.506565783086,60413.47,22365.54313156617
2017,Chitradurga,Finger millet,2040.7174308791368,871.6438179,844.5527457,762.9729095,651.8232076,2186.317341,989.3524439,3595.123292,30356.0,13301.869816008702,79299.73,-52695.990367982595
2017,Chitradurga,Chickpea,904.6065144341768,871.6438179,844.5527457,762.9729095,651.8232076,2186.317341,989.3524439,3595.123292,30356.0,19777.569092890073,40870.34,-1315.2018142198503
2017,Chitradurga,Pigeonpea,965.335418538157,871.6438179,844.5527457,762.9729095,651.8232076,2186.317341,989.3524439,3595.123292,30356.0,9550.56955513955,45957.39,-26856.2508897209
2017,Chitradurga,Groundnut,1546.1511071106768,871.6438179,844.5527457,762.9729095,651.8232076,2186.317341,989.3524439,3595.123292,30356.0,55586.038581251814,67803.33,43368.74716250363
2017,Chitradurga,Arecanut,3543.2954935147627,871.6438179,844.5527457,762.9729095,651.8232076,2186.317341,989.3524439,3595.123292,30356.0,1075602.7800113414,503137.23,1648068.330022683
2018,Chitradurga,Rice,6485.906029208192,1023.279811,889.4406841,759.9884904,652.5261553,1663.830961,3901.028074,1401.856539,25774.23742,66368.9669573192,92006.24,40731.69391463838
2018,Chitradurga,Sorghum,2495.679385832764,1023.279811,889.4406841,759.9884904,652.5261553,1663.830961,3901.028074,1401.856539,25774.23742,22197.587802293616,60413.47,-16018.29439541277
2018,Chitradurga,Maize,5555.591524003558,1023.279811,889.4406841,759.9884904,652.5261553,1663.830961,3901.028074,1401.856539,25774.23742,42221.856156065,60413.47,24030.242312129994
2018,Chitradurga,Finger millet,2070.26712375522,1023.279811,889.4406841,759.9884904,652.5261553,1663.830961,3901.028074,1401.856539,25774.23742,13509.03446707983,79299.73,-52281.66106584034
2018,Chitradurga,Chickpea,933.2959285280936,1023.279811,889.4406841,759.9884904,652.5261553,1663.830961,3901.028074,1401.856539,25774.23742,15528.466616602853,40870.34,-9813.40676679429
2018,Chitradurga,Pigeonpea,1031.2220047564074,1023.279811,889.4406841,759.9884904,652.5261553,1663.830961,3901.028074,1401.856539,25774.23742,40228.25991081307,45957.39,34499.129821626135
2018,Chitradurga,Groundnut,1530.5437663416767,1023.279811,889.4406841,759.9884904,652.5261553,1663.830961,3901.028074,1401.856539,25774.23742,21456.027870717677,67803.33,-24891.27425856465
2018,Chitradurga,Arecanut,4596.089542681433,1023.279811,889.4406841,759.9884904,652.5261553,1663.830961,3901.028074,1401.856539,25774.23742,1184607.030766505,503137.23,1866076.8315330101
2019,Chitradurga,Rice,6385.462739076992,940.2154587,638.0724715,908.831826,947.5920753,1847.616547,1760.934119,2442.403786,26094.11765,60037.10778233033,92006.24,28067.97556466065
2019,Chitradurga,Sorghum,2058.663715157564,940.2154587,638.0724715,908.831826,947.5920753,1847.616547,1760.934119,2442.403786,26094.11765,13135.76644717959,60413.47,-34141.93710564082
2019,Chitradurga,Maize,5219.419450547559,940.2154587,638.0724715,908.831826,947.5920753,1847.616547,1760.934119,2442.403786,26094.11765,47435.74509901054,60413.47,34458.020198021084
2019,Chitradurga,Finger millet,1994.33471785762,940.2154587,638.0724715,908.831826,947.5920753,1847.616547,1760.934119,2442.403786,26094.11765,18898.157741375424,79299.73,-41503.41451724915
2019,Chitradurga,Chickpea,859.5741390976937,940.2154587,638.0724715,908.831826,947.5920753,1847.616547,1760.934119,2442.403786,26094.11765,15881.634027701786,40870.34,-9107.071944596424
2019,Chitradurga,Pigeonpea,861.9164546476073,940.2154587,638.0724715,908.831826,947.5920753,1847.616547,1760.934119,2442.403786,26094.11765,15177.780927164878,45957.39,-15601.828145670243
2019,Chitradurga,Groundnut,1570.6491894072767,940.2154587,638.0724715,908.831826,947.5920753,1847.616547,1760.934119,2442.403786,26094.11765,38361.59526686164,67803.33,8919.860533723273
2019,Chitradurga,Arecanut,1890.7759746814336,940.2154587,638.0724715,908.831826,947.5920753,1847.616547,1760.934119,2442.403786,26094.11765,493381.30733130744,503137.23,483625.3846626149
2020,Chitradurga,Rice,6462.784620432392,888.77387,1102.109188,839.551281,350.2295497,3197.86258,6907.087049,2851.365331,31529.00777,57439.540980781785,92006.24,22872.841961563565
2020,Chitradurga,Sorghum,2395.0811482609643,888.77387,1102.109188,839.551281,350.2295497,3197.86258,6907.087049,2851.365331,31529.00777,26396.409395039984,60413.47,-7620.651209920034
2020,Chitradurga,Maize,5478.206843362059,888.77387,1102.109188,839.551281,350.2295497,3197.86258,6907.087049,2851.365331,31529.00777,45992.35572927583,60413.47,31571.241458551653
2020,Chitradurga,Finger millet,2052.78796517932,888.77387,1102.109188,839.551281,350.2295497,3197.86258,6907.087049,2851.365331,31529.00777,7189.470046743325,79299.73,-64920.789906513346
2020,Chitradurga,Chickpea,916.3256398519936,888.77387,1102.109188,839.551281,350.2295497,3197.86258,6907.087049,2851.365331,31529.00777,29302.83474777247,40870.34,17735.329495544946
2020,Chitradurga,Pigeonpea,992.2489401847074,888.77387,1102.109188,839.551281,350.2295497,3197.86258,6907.087049,2851.365331,31529.00777,68535.49804133769,45957.39,91113.60608267538
2020,Chitradurga,Groundnut,1539.7757805420767,888.77387,1102.109188,839.551281,350.2295497,3197.86258,6907.087049,2851.365331,31529.00777,43904.63278151142,67803.33,20005.93556302284
2020,Chitradurga,Arecanut,3973.343505681433,888.77387,1102.109188,839.551281,350.2295497,3197.86258,6907.087049,2851.365331,31529.00777,1252755.7826350892,503137.23,2002374.3352701785
2021,Chitradurga,Rice,6425.579635896852,1104.882116,1086.194152,932.7888393,484.2481883,2235.547651,2317.492451,2075.433924,38344.77433,70995.08024636222,92006.24,49983.92049272444
2021,Chitradurga,Sorghum,2233.2071072172903,1104.882116,1086.194152,932.7888393,484.2481883,2235.547651,2317.492451,2075.433924,38344.77433,24256.965000642576,60413.47,-11899.539998714848
2021,Chitradurga,Maize,5353.686063747275,1104.882116,1086.194152,932.7888393,484.2481883,2235.547651,2317.492451,2075.433924,38344.77433,49938.58609379406,60413.47,39463.70218758812
2021,Chitradurga,Finger millet,2024.6620049138169,1104.882116,1086.194152,932.7888393,484.2481883,2235.547651,2317.492451,2075.433924,38344.77433,9804.389077993614,79299.73,-59690.95184401277
2021,Chitradurga,Chickpea,889.0185093098969,1104.882116,1086.194152,932.7888393,484.2481883,2235.547651,2317.492451,2075.433924,38344.77433,19874.432401832615,40870.34,-1121.4751963347662
2021,Chitradurga,Pigeonpea,929.5368330309972,1104.882116,1086.194152,932.7888393,484.2481883,2235.547651,2317.492451,2075.433924,38344.77433,21541.945934757834,45957.39,-2873.4981304843313
2021,Chitradurga,Groundnut,1554.6311446285968,1104.882116,1086.194152,932.7888393,484.2481883,2235.547651,2317.492451,2075.433924,38344.77433,32265.3421686914,67803.33,-3272.6456626172003
2021,Chitradurga,Arecanut,2971.2740859147634,1104.882116,1086.194152,932.7888393,484.2481883,2235.547651,2317.492451,2075.433924,38344.77433,1139328.3429697864,503137.23,1775519.4559395728
2022,Chitradurga,Rice,6480.107256516492,1145.611678,1018.719754,849.5716951,923.1048863,2094.886062,3368.298521,2856.770768,35569.89071,74236.86547757835,92006.24,56467.490955156696
2022,Chitradurga,Sorghum,2470.44968125373,1145.611678,1018.719754,849.5716951,923.1048863,2094.886062,3368.298521,2856.770768,35569.89071,25166.95891556178,60413.47,-10079.552168876442
2022,Chitradurga,Maize,5536.183702567975,1145.611678,1018.719754,849.5716951,923.1048863,2094.886062,3368.298521,2856.770768,35569.89071,47033.84972575669,60413.47,33654.22945151338
2022,Chitradurga,Finger millet,2065.8834087140367,1145.611678,1018.719754,849.5716951,923.1048863,2094.886062,3368.298521,2856.770768,35569.89071,19070.27069110027,79299.73,-41159.18861779945
2022,Chitradurga,Chickpea,929.0398363712768,1145.611678,1018.719754,849.5716951,923.1048863,2094.886062,3368.298521,2856.770768,35569.89071,19462.326042569486,40870.34,-1945.6879148610242
2022,Chitradurga,Pigeonpea,1021.447689326857,1145.611678,1018.719754,849.5716951,923.1048863,2094.886062,3368.298521,2856.770768,35569.89071,34405.4074123852,45957.39,22853.424824770394
2022,Chitradurga,Groundnut,1532.8591249062767,1145.611678,1018.719754,849.5716951,923.1048863,2094.886062,3368.298521,2856.770768,35569.89071,43790.27139494312,67803.33,19777.212789886238
2022,Chitradurga,Arecanut,4439.906900514762,1145.611678,1018.719754,849.5716951,923.1048863,2094.886062,3368.298521,2856.770768,35569.89071,1579270.0321388491,503137.23,2655402.8342776983
2023,Chitradurga,Rice,6580.824643654212,1149.613004,795.1356628,961.3396244,926.0244905,2690.593878,4180.096954,1428.411049,36269.42971,75654.0158738855,92006.24,59301.791747770985
2023,Chitradurga,Sorghum,2908.65791229785,1149.613004,795.1356628,961.3396244,926.0244905,2690.593878,4180.096954,1428.411049,36269.42971,23127.776369534153,60413.47,-14157.917260931696
2023,Chitradurga,Maize,5873.273146999075,1149.613004,795.1356628,961.3396244,926.0244905,2690.593878,4180.096954,1428.411049,36269.42971,56462.10201134697,60413.47,52510.73402269394
2023,Chitradurga,Finger millet,2142.023024522097,1149.613004,795.1356628,961.3396244,926.0244905,2690.593878,4180.096954,1428.411049,36269.42971,19835.657799223438,79299.73,-39628.41440155312
2023,Chitradurga,Chickpea,1002.9628032200168,1149.613004,795.1356628,961.3396244,926.0244905,2690.593878,4180.096954,1428.411049,36269.42971,26985.655782054957,40870.34,13100.971564109917
2023,Chitradurga,Pigeonpea,1191.215252820637,1149.613004,795.1356628,961.3396244,926.0244905,2690.593878,4180.096954,1428.411049,36269.42971,49793.95249873884,45957.39,53630.51499747769
2023,Chitradurga,Groundnut,1492.6442592249168,1149.613004,795.1356628,961.3396244,926.0244905,2690.593878,4180.096954,1428.411049,36269.42971,21321.095521032912,67803.33,-25161.138957934178
2023,Chitradurga,Arecanut,7152.602926314762,1149.613004,795.1356628,961.3396244,926.0244905,2690.593878,4180.096954,1428.411049,36269.42971,2594208.2907951353,503137.23,4685279.35159027
2024,Chitradurga,Rice,6549.6424250630125,1190.147126,1278.61081,818.647622,856.0592391,2287.256886,528.82093,2349.821191,36139.20821,77950.38108516415,92006.24,63894.52217032829
2024,Chitradurga,Sorghum,2772.988141295984,1190.147126,1278.61081,818.647622,856.0592391,2287.256886,528.82093,2349.821191,36139.20821,35455.72613462852,60413.47,10497.982269257045
2024,Chitradurga,Maize,5768.909868326409,1190.147126,1278.61081,818.647622,856.0592391,2287.256886,528.82093,2349.821191,36139.20821,47227.043452377475,60413.47,34040.61690475495
2024,Chitradurga,Finger millet,2118.45011212783,1190.147126,1278.61081,818.647622,856.0592391,2287.256886,528.82093,2349.821191,36139.20821,18135.1879105946,79299.73,-43029.3541788108
2024,Chitradurga,Chickpea,980.0761678862837,1190.147126,1278.61081,818.647622,856.0592391,2287.256886,528.82093,2349.821191,36139.20821,22416.859638023943,40870.34,3963.37927604789
2024,Chitradurga,Pigeonpea,1138.6550204218374,1190.147126,1278.61081,818.647622,856.0592391,2287.256886,528.82093,2349.821191,36139.20821,6021.446068486451,45957.39,-33914.4978630271
2024,Chitradurga,Groundnut,1505.0948277705168,1190.147126,1278.61081,818.647622,856.0592391,2287.256886,528.82093,2349.821191,36139.20821,35367.03720759655,67803.33,2930.7444151930977
2024,Chitradurga,Arecanut,6312.749124981435,1190.147126,1278.61081,818.647622,856.0592391,2287.256886,528.82093,2349.821191,36139.20821,2281377.5500519937,503137.23,4059617.8701039874
2025,Chitradurga,Rice,6541.432777625792,1226.194412,806.5497308,979.7204606,879.7796948,2986.343781,2512.275391,2880.624628,36406.71936,80210.68318398386,92006.24,68415.1263679677
2025,Chitradurga,Sorghum,2737.269034762364,1226.194412,806.5497308,979.7204606,879.7796948,2986.343781,2512.275391,2880.624628,36406.71936,22077.4360311476,60413.47,-16258.597937704799
2025,Chitradurga,Maize,5741.433127991559,1226.194412,806.5497308,979.7204606,879.7796948,2986.343781,2512.275391,2880.624628,36406.71936,56249.99508659989,60413.47,52086.52017319978
2025,Chitradurga,Finger millet,2112.2438411000203,1226.194412,806.5497308,979.7204606,879.7796948,2986.343781,2512.275391,2880.624628,36406.71936,18583.092418661556,79299.73,-42133.545162676885
2025,Chitradurga,Chickpea,974.0505797272936,1226.194412,806.5497308,979.7204606,879.7796948,2986.343781,2512.275391,2880.624628,36406.71936,29088.498911480478,40870.34,17306.65782296096
2025,Chitradurga,Pigeonpea,1124.816974358807,1226.194412,806.5497308,979.7204606,879.7796948,2986.343781,2512.275391,2880.624628,36406.71936,28258.50004060709,45957.39,10559.610081214181
2025,Chitradurga,Groundnut,1508.3728106328767,1226.194412,806.5497308,979.7204606,879.7796948,2986.343781,2512.275391,2880.624628,36406.71936,43450.55866514645,67803.33,19097.787330292893
2025,Chitradurga,Arecanut,6091.632606681434,1226.194412,806.5497308,979.7204606,879.7796948,2986.343781,2512.275391,2880.624628,36406.71936,2217763.5875567626,503137.23,3932389.9451135253
2026,Chitradurga,Rice,6606.959331807524,732.3286775,1177.69676,909.0822138,588.4537135,1428.524564,4283.982899,3525.762409,36789.85783,48384.657897588884,92006.24,4763.075795177763
2026,Chitradurga,Sorghum,3022.3665359031534,732.3286775,1177.69676,909.0822138,588.4537135,1428.524564,4283.982899,3525.762409,36789.85783,35594.312768655676,60413.47,10775.155537311352
2026,Chitradurga,Maize,5960.74292516095,732.3286775,1177.69676,909.0822138,588.4537135,1428.524564,4283.982899,3525.762409,36789.85783,54188.053742980046,60413.47,47962.63748596009
2026,Chitradurga,Finger millet,2161.780140664672,732.3286775,1177.69676,909.0822138,588.4537135,1428.524564,4283.982899,3525.762409,36789.85783,12721.075515446788,79299.73,-53857.57896910642
2026,Chitradurga,Chickpea,1022.1447313941236,732.3286775,1177.69676,909.0822138,588.4537135,1428.524564,4283.982899,3525.762409,36789.85783,14601.588567596877,40870.34,-11667.162864806243
2026,Chitradurga,Pigeonpea,1235.2674513193003,732.3286775,1177.69676,909.0822138,588.4537135,1428.524564,4283.982899,3525.762409,36789.85783,52918.64637143197,45957.39,59879.90274286394
2026,Chitradurga,Groundnut,1482.2090900492854,732.3286775,1177.69676,909.0822138,588.4537135,1428.524564,4283.982899,3525.762409,36789.85783,52259.170919738666,67803.33,36715.01183947733
2026,Chitradurga,Arecanut,7856.507849821865,732.3286775,1177.69676,909.0822138,588.4537135,1428.524564,4283.982899,3525.762409,36789.85783,2890398.068352254,503137.23,5277658.906704508
2027,Chitradurga,Rice,6480.107256516492,1221.316793,1141.481776,713.3812112,646.7099277,2442.245954,1995.104242,2280.104003,37075.00449,79142.6381282475,92006.24,66279.036256495
2027,Chitradurga,Sorghum,2470.44968125373,1221.316793,1141.481776,713.3812112,646.7099277,2442.245954,1995.104242,2280.104003,37075.00449,28199.732896761416,60413.47,-4014.0042064771696
2027,Chitradurga,Maize,5536.183702567975,1221.316793,1141.481776,713.3812112,646.7099277,2442.245954,1995.104242,2280.104003,37075.00449,39494.09435163643,60413.47,18574.718703272854
2027,Chitradurga,Finger millet,2065.8834087140367,1221.316793,1141.481776,713.3812112,646.7099277,2442.245954,1995.104242,2280.104003,37075.00449,13360.273098860842,79299.73,-52579.18380227831
2027,Chitradurga,Chickpea,929.0398363712768,1221.316793,1141.481776,713.3812112,646.7099277,2442.245954,1995.104242,2280.104003,37075.00449,22689.437814825727,40870.34,4508.535629651458
2027,Chitradurga,Pigeonpea,1021.447689326857,1221.316793,1141.481776,713.3812112,646.7099277,2442.245954,1995.104242,2280.104003,37075.00449,20378.946179571107,45957.39,-5199.497640857786
2027,Chitradurga,Groundnut,1532.8591249062767,1221.316793,1141.481776,713.3812112,646.7099277,2442.245954,1995.104242,2280.104003,37075.00449,34950.782267338785,67803.33,2098.234534677569
2027,Chitradurga,Arecanut,4439.906900514762,1221.316793,1141.481776,713.3812112,646.7099277,2442.245954,1995.104242,2280.104003,37075.00449,1646095.682717668,503137.23,2789054.135435336
2028,Chitradurga,Rice,6443.068793280612,1067.257062,1053.036668,962.1348677,838.0262085,2871.571203,1894.321832,2272.092803,37141.36037,68764.1067058055,92006.24,45521.973411611005
2028,Chitradurga,Sorghum,2309.30015269225,1067.257062,1053.036668,962.1348677,838.0262085,2871.571203,1894.321832,2272.092803,37141.36037,24317.77738202938,60413.47,-11777.91523594124
2028,Chitradurga,Maize,5412.220250481075,1067.257062,1053.036668,962.1348677,838.0262085,2871.571203,1894.321832,2272.092803,37141.36037,52072.8581465987,60413.47,43732.2462931974
2028,Chitradurga,Finger millet,2037.8833340392969,1067.257062,1053.036668,962.1348677,838.0262085,2871.571203,1894.321832,2272.092803,37141.36037,17077.996437902908,79299.73,-45143.73712419418
2028,Chitradurga,Chickpea,901.8549265188168,1067.257062,1053.036668,962.1348677,838.0262085,2871.571203,1894.321832,2272.092803,37141.36037,25897.406362751153,40870.34,10924.47272550231
2028,Chitradurga,Pigeonpea,959.0162677242372,1067.257062,1053.036668,962.1348677,838.0262085,2871.571203,1894.321832,2272.092803,37141.36037,18166.854531931793,45957.39,-9623.680936136414
2028,Chitradurga,Groundnut,1547.6479996617168,1067.257062,1053.036668,962.1348677,838.0262085,2871.571203,1894.321832,2272.092803,37141.36037,35163.99881608733,67803.33,2524.6676321746636
2028,Chitradurga,Arecanut,3442.322522314763,1067.257062,1053.036668,962.1348677,838.0262085,2871.571203,1894.321832,2272.092803,37141.36037,1278525.4131105999,503137.23,2053913.5962211997
2029,Chitradurga,Rice,6541.432777625792,927.7025316,978.6528437,944.7270917,888.7816592,1831.625929,2860.869002,2070.617165,37901.15494,60685.037480946674,92006.24,29363.834961893343
2029,Chitradurga,Sorghum,2737.269034762364,927.7025316,978.6528437,944.7270917,888.7816592,1831.625929,2860.869002,2070.617165,37901.15494,26788.361248421414,60413.47,-6836.747503157174
2029,Chitradurga,Maize,5741.433127991559,927.7025316,978.6528437,944.7270917,888.7816592,1831.625929,2860.869002,2070.617165,37901.15494,54240.87421197499,60413.47,48068.278423949974
2029,Chitradurga,Finger millet,2112.2438411000203,927.7025316,978.6528437,944.7270917,888.7816592,1831.625929,2860.869002,2070.617165,37901.15494,18773.23585727857,79299.73,-41753.258285442855
2029,Chitradurga,Chickpea,974.0505797272936,927.7025316,978.6528437,944.7270917,888.7816592,1831.625929,2860.869002,2070.617165,37901.15494,17840.962979859927,40870.34,-5188.414040280142
2029,Chitradurga,Pigeonpea,1124.816974358807,927.7025316,978.6528437,944.7270917,888.7816592,1831.625929,2860.869002,2070.617165,37901.15494,32179.540148665397,45957.39,18401.690297330795
2029,Chitradurga,Groundnut,1508.3728106328767,927.7025316,978.6528437,944.7270917,888.7816592,1831.625929,2860.869002,2070.617165,37901.15494,31232.626329157294,67803.33,-5338.077341685414
2029,Chitradurga,Arecanut,6091.632606681434,927.7025316,978.6528437,944.7270917,888.7816592,1831.625929,2860.869002,2070.617165,37901.15494,2308799.112633891,503137.23,4114460.995267782
2030,Chitradurga,Rice,6502.782840930682,1007.178396,990.5733113,1010.024092,1132.867231,2771.303736,4232.710865,2491.538402,37972.42574,65494.62391264887,92006.24,38983.00782529774
